record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
418494;;;27;22;4;;1.8;1;NEOLITHIC;-3000;-1800;Blaby,Leicestershire;6061;46.4
418254;;;62.16;39;;14.65;15.2;1;MEDIEVAL;1000;1550;West Oxfordshire,Oxfordshire;5884;75.2
417986;;;52.95;11;11;;15;1;BRONZE AGE;-2150;-800;Birmingham,Midlands Occidentales;8989;48.2
417980;;;37.99;10.3;10.3;;7.7;1;BRONZE AGE;-2150;-800;Shropshire,Shropshire;12115;46.4
417582;;;122;21;7;;18.61;1;EARLY MEDIEVAL;800;1000;Tewkesbury,Gloucestershire;6183;68
417381;Transverse;;35.89;32.28;4.42;;4.1;1;NEOLITHIC;-2500;-2100;Wiltshire,Wiltshire;7406;68
417319;transverse;;27.1;22.9;4.8;;3.78;1;NEOLITHIC;-2500;-2100;Rotherham,Yorkshire del Sur;10631;68
415759;;;24.1;23.9;5.2;;3.2;1;NEOLITHIC;-3500;-2500;Lichfield,Staffordshire;12700;53.6
415736;;;39.3;20.8;4.9;;5;1;NEOLITHIC;-3500;-2100;Lichfield,Staffordshire;12700;50
412717;;;21;16;4;;1.02;1;BRONZE AGE;-2100;-800;Huntingdonshire,Cambridgeshire;13549;48.2
412217;;;19;14;4;;0.92;1;NEOLITHIC;;;Cornwall,Cornwall;5886;50
411904;Spearpoint;;56.42;15.59;9.36;;6.3;1;MEDIEVAL;1100;1500;Dudley,Midlands Occidentales;5305;69.8
411587;;;32;20;;;;1;NEOLITHIC;;;Cornwall,Cornwall;5886;69.8
410395;chert;;30;15;10;;4.71;1;NEOLITHIC;-6500;-2900;Pendle,Lancashire;9838;46.4
410382;;;30;20;5;;4.04;1;NEOLITHIC;-6500;-2900;Pendle,Lancashire;9838;46.4
409694;;;22;21;;;1.7;1;NEOLITHIC;-3000;-2000;West Lindsey,Lincolnshire;11059;46.4
409365;;;31;17;2.6;;1.6;1;NEOLITHIC;-4000;-2000;West Lindsey,Lincolnshire;11059;46.4
409326;Leaf-shaped;;31;16;4;;1.9;1;NEOLITHIC;-3800;-2500;West Lindsey,Lincolnshire;11059;46.4
409202;;;26.07;18.55;4.33;;2.5;1;NEOLITHIC;-4000;-2000;Waverley,Surrey;11996;77
409197;;;22.78;21.22;;;1.64;1;BRONZE AGE;-2000;-1500;Waverley,Surrey;11996;50
408424;Barbed and tanged;;59.94;14.07;1.73;;2.82;1;MEDIEVAL;1300;1500;Lambeth,London;13278;77
408348;;;30.82;16.15;;;1.86;1;NEOLITHIC;-3500;-2000;South Oxfordshire,Oxfordshire;7733;51.8
405447;;;62.78;17.09;5.85;;6.77;1;NEOLITHIC;-4000;-2000;Suffolk Coastal,Suffolk;5788;69.8
404451;;;28.54;17.51;4.89;;2.26;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;50
404436;;;41.48;14.97;3.48;;2.05;1;NEOLITHIC;;;Bedford,Bedfordshire;12391;51.8
404202;;;26;21;3.7;;1.71;1;NEOLITHIC;-2900;-2150;Cornwall,Cornwall;5886;51.8
404092;oblique;;28.38;22.97;4.54;;2.13;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;75.2
404089;oblique;;31.96;21.74;5.56;;3.05;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;55.4
